Call ID,Segment,Date,StartTime,Calling Party,DialedNumber,Disposition,DispositionTime,Skill,AnsLogid,TalkTime,HoldTime,ACWTime,TransferedOut,ConferencedIn,Assist,LastCallWorkCode
993835,1,21-07-2017,12:20PM,1204592263,8052,CONN,:05,31,,0,:00,:00,N,N,N,
993836,1,21-07-2017,12:20PM,002V02010,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
993837,1,21-07-2017,12:02PM,001V03017,,OTHER,:00,32,,0.0,:00,:00,N,N,N,
993838,2,21-07-2017,12:00PM,001V03011,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
993839,3,21-07-2017,12:15PM,4.42E+11,,CONN,:09,58,,0.0,:00,:00,N,N,N,
993840,2,21-07-2017,12:21PM,002V02011,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
993841,2,21-07-2017,12:20PM,,,CONN,:00,46,,0.0,:00,:00,N,N,N,
993842,3,21-07-2017,12:20PM,32808,32911,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993843,3,21-07-2017,12:19PM,32801,32841,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993844,2,21-07-2017,12:22PM,002V02013,,OTHER,:00,46,,0.0,:00,:00,N,N,N,
993845,2,21-07-2017,12:20PM,4.48E+11,8062,ANS,:10,45,6074,00.02.39,:00,:05,N,N,N,
993846,3,21-07-2017,12:21PM,32824,8072,ANS,:15,60,6544,00.01.54,:00,:05,N,N,N,
993847,1,21-07-2017,12:23PM,002V02017,,ANS,:00,31,,0,:00,:00,Y,N,N,
993848,3,21-07-2017,12:23PM,002V03010,,OTHER,:00,58,,0,:00,:00,N,N,N,
993849,2,21-07-2017,12:24PM,002V02018,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
993850,2,21-07-2017,12:19PM,002V02009,,OTHER,:00,43,,0.0,:00,:00,N,N,N,
993851,2,21-07-2017,12:23PM,002V02014,,OTHER,:00,48,,0.0,:00,:00,N,N,N,
993852,3,21-07-2017,12:21PM,001V03010,,OTHER,:00,58,,0.0,:00,:00,N,N,N,
993853,1,21-07-2017,12:17PM,001V03003,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
993854,1,21-07-2017,12:23PM,002V02015,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
993855,1,21-07-2017,12:23PM,002V02001,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
993856,1,21-07-2017,12:24PM,002V02019,,OTHER,:00,53,,0.0,:00,:00,N,N,N,
993857,2,21-07-2017,12:22PM,0,8064,ANS,:14,46,6077,02.50.00,:00,:05,N,N,N,
993858,2,21-07-2017,12:22PM,001V03011,,OTHER,:00,46,,0.0,:00,:00,N,N,N,
993859,2,21-07-2017,12:25PM,269,,OTHER,:00,43,,0.0,:00,:00,N,N,N,
993860,1,21-07-2017,12:25PM,270,,OTHER,:00,54,,0.0,:00,:00,N,N,N,
993861,2,21-07-2017,12:21PM,001V03009,,OTHER,:00,46,,0.0,:00,:00,N,N,N,
993862,2,21-07-2017,12:25PM,002V02021,,OTHER,:00,43,,0.0,:00,:00,N,N,N,
993863,1,21-07-2017,12:26PM,8377054103,8052,ABAN,:10,32,,0.0,:00,:00,N,N,N,
993864,1,21-07-2017,12:24PM,002V03012,,OTHER,:00,54,,0.0,:00,:00,N,N,N,
993865,1,21-07-2017,12:25PM,002V02020,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
993866,2,21-07-2017,12:27PM,002V02023,,OTHER,:00,46,,0.0,:00,:00,N,N,N,
993867,3,21-07-2017,12:27PM,32801,32821,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993868,3,21-07-2017,12:27PM,32801,32842,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993869,2,21-07-2017,12:24PM,002V03011,,OTHER,:00,46,,0.0,:00,:00,N,N,N,
993870,1,21-07-2017,12:27PM,002V03013,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
993871,3,21-07-2017,12:26PM,002V02022,,OTHER,:00,58,,0.0,:00,:00,N,N,N,
993872,2,21-07-2017,12:13PM,002V03009,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993873,3,21-07-2017,12:27PM,32801,32845,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993874,1,21-07-2017,12:25PM,001V03012,,OTHER,:00,54,,0.0,:00,:00,N,N,N,
993875,1,21-07-2017,12:27PM,002V02025,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
993876,3,21-07-2017,12:27PM,32801,32841,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993877,1,21-07-2017,12:29PM,001V03014,,OTHER,:00,54,,0.0,:00,:00,N,N,N,
993878,1,21-07-2017,12:28PM,002V02027,,OTHER,:00,53,,0.0,:00,:00,N,N,N,
993879,2,21-07-2017,12:13PM,10282,0447738775043#,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993880,2,21-07-2017,12:28PM,002V02026,,OTHER,:00,48,,0.0,:00,:00,N,N,N,
993881,2,21-07-2017,12:29PM,002V02028,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
993882,2,21-07-2017,12:27PM,002V02024,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993883,2,21-07-2017,12:28PM,002V03018,,OTHER,:00,39,,0.0,:00,:00,N,N,N,
993884,1,21-07-2017,12:27PM,4.48E+11,8062,ANS,:10,33,6077,02.28.00,:00,:05,N,N,N,
993885,1,21-07-2017,12:21PM,001V03008,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
993886,2,21-07-2017,12:22PM,4.41E+11,8062,ANS,:07,45,6078,07.23.00,:00,:05,N,Y,N,
993887,2,21-07-2017,12:30PM,002V02029,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993888,1,21-07-2017,12:27PM,002V05028,,OTHER,:00,32,,0.0,:00,:00,N,N,N,
993889,2,21-07-2017,12:30PM,9911574666,8052,ABAN,:10,41,,0.0,:00,:00,N,N,N,
993890,2,21-07-2017,12:30PM,001V03017,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
993891,2,21-07-2017,12:30PM,002V02030,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993892,3,21-07-2017,12:30PM,32886,1123701225#,OTHER,:00,58,,0.0,:00,:00,N,N,N,
993893,2,21-07-2017,12:31PM,001V03018,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993894,2,21-07-2017,12:30PM,002V02002,,OTHER,:00,46,,0.0,:00,:00,N,Y,N,
993895,3,21-07-2017,12:31PM,1244981635,8052,CONN,:05,60,,0.0,:00,:00,N,N,N,
993896,3,21-07-2017,12:31PM,32886,1123701225#,OTHER,:00,58,,0.0,:00,:00,N,N,N,
