,,,,,,,,,,,,,,,,,,,
Consolidated Summary,,,,,,,,,,,,,,,,,,,
,Skill 45,Skill 46,Total,% Ans,% Abdn,,,,,,,,,,,,,,
Total offered,97,40,137,96.35%,3.65%,,,,,,,,,,,,,,
Total acd,94,38,132,,,,,,,,,,,,,,,,
Actual abdn,3,2,5,,,,,,,,,,,,,,,,
Total abdn,3,3,6,,,,,,,,,,,,,,,,
Abdn less 15 secs,0,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Skill 45 (All Calls),,,,,,,,,,,,,,,,,,,
Time,,,Avg Speed Ans,Avg Aban Time,ACD Calls,Avg ACD Time,Avg ACW Time,Aban Calls,Max Delay,Flow In,Flow Out,Extn Out Calls,Avg Extn Out Time,Dequeued Calls,Avg Time to Dequeue,% ACD Time,% Ans Calls,Avg Pos Staff,Calls Per Pos
Totals,,0,:14,:06,94,04:42,:22,3,01:41,0,0,18,01:40,0,0,16.58,96.91,4.6,21
08:00,-,8:30AM,:08,0,3,05:24,:05,0,:08,0,0,1,:02,0,0,14.28,100,3.8,1
08:30,-,9:00AM,:10,0,2,05:22,:05,0,:11,0,0,0,0,0,0,9.08,100,4,1
09:00,-,9:30AM,:06,:05,6,03:44,:05,1,:08,0,0,0,0,0,0,22.65,85.71,4,2
09:30,-,10:00AM,:14,0,7,04:32,:05,0,:45,0,0,1,01:00,0,0,19.83,100,4.7,1
10:00,-,10:30AM,:08,0,5,05:39,:06,0,:13,0,0,5,:34,0,0,16.17,100,5.9,1
10:30,-,11:00AM,:08,:04,5,02:23,:05,1,:11,0,0,0,0,0,0,8,83.33,6,1
11:00,-,11:30AM,:11,:10,12,04:15,:05,1,:22,0,0,0,0,0,0,38.31,92.31,6,2
11:30,-,12:00PM,:11,0,8,05:54,03:28,0,:30,0,0,1,01:00,0,0,33.19,100,6,1
12:00,-,12:30PM,:09,0,7,03:32,:05,0,:17,0,0,1,:12,0,0,11.93,100,6,1
12:30,-,1:00PM,:10,0,1,03:02,:05,0,:10,0,0,0,0,0,0,1.73,100,6,0
01:00,-,1:30PM,:26,0,6,05:36,:05,0,01:41,0,0,2,02:28,0,0,18.96,100,6,1
01:30,-,2:00PM,:08,0,7,04:07,:05,0,:16,0,0,2,01:32,0,0,18.63,100,6,1
02:00,-,2:30PM,:07,0,5,04:11,:05,0,:11,0,0,1,01:44,0,0,9.55,100,6,1
02:30,-,3:00PM,:09,0,3,03:59,:05,0,:11,0,0,0,0,0,0,8.19,100,6,1
03:00,-,3:30PM,:10,0,4,05:30,:05,0,:18,0,0,3,04:48,0,0,17.43,100,6,1
03:30,-,4:00PM,:07,0,3,07:06,:04,0,:09,0,0,1,:43,0,0,6.38,100,5.2,1
04:00,-,4:30PM,:13,0,4,03:18,:05,0,:27,0,0,0,0,0,0,19.19,100,2.3,2
04:30,-,5:00PM,:19,0,1,06:25,:05,0,:19,0,0,0,0,0,0,32.36,100,2,1
05:00,-,5:30PM,01:22,0,3,08:56,:05,0,01:31,0,0,0,0,0,0,23.58,100,2,2
05:30,-,6:00PM,:51,0,2,05:04,:05,0,01:33,0,0,0,0,0,0,18.47,100,1.9,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Skill 46 (Tele worker),,,,,,,,,,,,,,,,,,,
Time,,,Avg Speed Ans,Avg Aban Time,ACD Calls,Avg ACD Time,Avg ACW Time,Aban Calls,Max Delay,Flow In,Flow Out,Extn Out Calls,Avg Extn Out Time,Dequeued Calls,Avg Time to Dequeue,% ACD Time,% Ans Calls,Avg Pos Staff,Calls Per Pos
Totals,,0,:17,:34,38,05:19,:06,3,01:50,0,0,15,05:00,0,0,8.58,92.68,3.8,10
08:00,-,8:30AM,:09,0,2,02:31,:05,0,:09,0,0,0,0,0,0,6.1,100,2.8,1
08:30,-,9:00AM,:08,:48,3,04:30,:05,2,01:00,0,0,0,0,0,0,15.96,60,3,1
09:00,-,9:30AM,:10,0,2,01:51,:05,0,:12,0,0,0,0,0,0,12.69,100,3,1
09:30,-,10:00AM,:28,0,6,08:22,:05,0,01:50,0,0,0,0,0,0,38.16,100,3.7,2
10:00,-,10:30AM,:10,0,1,03:23,:05,0,:10,0,0,1,:21,0,0,4.23,100,4.9,0
10:30,-,11:00AM,:07,0,2,02:07,:05,0,:07,0,0,0,0,0,0,1.08,100,5,0
11:00,-,11:30AM,:14,0,1,02:50,:05,0,:14,0,0,4,05:42,0,0,1.94,100,5,0
11:30,-,12:00PM,:07,0,1,03:41,:05,0,:07,0,0,1,02:33,0,0,2.51,100,5,0
12:00,-,12:30PM,0,0,0,0,0,0,:00,0,0,2,06:39,0,0,0,0,5,0
12:30,-,1:00PM,:10,:06,1,03:41,:05,1,:10,0,0,1,01:16,0,0,6,50,5,0
01:00,-,1:30PM,:11,0,4,06:27,:19,0,:13,0,0,2,15:08,0,0,14.54,100,5,1
01:30,-,2:00PM,:06,0,1,:34,:05,0,:06,0,0,1,:26,0,0,0.43,100,5,0
02:00,-,2:30PM,:11,0,1,06:24,:05,0,:11,0,0,0,0,0,0,4.73,100,5,0
02:30,-,3:00PM,:06,0,1,04:54,:05,0,:06,0,0,2,01:12,0,0,2.91,100,5,0
03:00,-,3:30PM,:08,0,2,05:03,:05,0,:10,0,0,1,01:44,0,0,13.64,100,5,0
03:30,-,4:00PM,:12,0,3,10:00,:04,0,:21,0,0,0,0,0,0,15.45,100,4.3,1
04:00,-,4:30PM,:23,0,3,01:44,:05,0,:51,0,0,0,0,0,0,7.74,100,2.3,1
04:30,-,5:00PM,01:00,0,3,07:16,:05,0,01:27,0,0,0,0,0,0,36.72,100,2,2
05:00,-,5:30PM,:15,0,1,07:05,:05,0,:15,0,0,0,0,0,0,11.94,100,2,1
05:30,-,6:00PM,0,0,0,0,0,0,:00,0,0,0,0,0,0,0,0,1.9,0
