Date,Open,High,Low,Close,Volume
14-Jul-17,145.59,146.48,145.22,146.16,2283792
13-Jul-17,145.91,146.48,144.94,145.05,1308293
12-Jul-17,144.00,146.19,143.80,145.91,1812071
11-Jul-17,142.99,143.98,142.12,142.93,1623715
10-Jul-17,142.21,143.88,141.57,143.34,1615161
7-Jul-17,141.07,143.36,140.97,142.22,1533905
6-Jul-17,139.73,141.18,138.88,140.75,1803234
5-Jul-17,138.65,141.97,138.55,141.21,2229878
3-Jul-17,141.73,142.15,138.31,138.41,1785994
30-Jun-17,141.87,142.81,140.74,141.44,2331025
29-Jun-17,143.06,143.20,139.65,141.24,2653886
28-Jun-17,143.01,144.08,141.15,143.81,2507882
27-Jun-17,144.33,144.81,142.54,142.54,3018939
26-Jun-17,146.06,146.89,144.36,144.96,2775521
23-Jun-17,143.75,145.59,143.06,145.41,3418994
22-Jun-17,145.15,145.77,143.66,143.69,3688418
21-Jun-17,145.08,147.45,142.75,144.24,8251897
20-Jun-17,141.21,142.30,140.19,140.91,5454713
19-Jun-17,138.79,141.47,138.64,140.35,4356865
16-Jun-17,137.35,138.35,136.29,137.84,4205798
15-Jun-17,136.63,137.90,134.45,137.52,2804410
