Date,Open,High,Low,Close,Volume
14-Jul-17,145.59,146.48,145.22,146.16,2283792
13-Jul-17,145.91,146.48,144.94,145.05,1308293
12-Jul-17,144.00,146.19,143.80,145.91,1812071
11-Jul-17,142.99,143.98,142.12,142.93,1623715
10-Jul-17,142.21,143.88,141.57,143.34,1615161
7-Jul-17,141.07,143.36,140.97,142.22,1533905
6-Jul-17,139.73,141.18,138.88,140.75,1803234
5-Jul-17,138.65,141.97,138.55,141.21,2229878
3-Jul-17,141.73,142.15,138.31,138.41,1785994
30-Jun-17,141.87,142.81,140.74,141.44,2331025
29-Jun-17,143.06,143.20,139.65,141.24,2653886
28-Jun-17,143.01,144.08,141.15,143.81,2507882
27-Jun-17,144.33,144.81,142.54,142.54,3018939
26-Jun-17,146.06,146.89,144.36,144.96,2775521
23-Jun-17,143.75,145.59,143.06,145.41,3418994
22-Jun-17,145.15,145.77,143.66,143.69,3688418
21-Jun-17,145.08,147.45,142.75,144.24,8251897
20-Jun-17,141.21,142.30,140.19,140.91,5454713
19-Jun-17,138.79,141.47,138.64,140.35,4356865
16-Jun-17,137.35,138.35,136.29,137.84,4205798
15-Jun-17,136.63,137.90,134.45,137.52,2804410
14-Jun-17,139.29,140.85,136.41,138.25,2831058
13-Jun-17,138.79,139.86,138.09,139.09,2871379
12-Jun-17,133.72,138.64,131.20,137.25,6772355
9-Jun-17,143.14,143.58,135.76,138.05,4146190
8-Jun-17,143.96,143.97,141.74,142.63,2811524
7-Jun-17,143.33,143.77,142.45,143.62,1633783
6-Jun-17,143.35,144.17,142.73,143.03,2162703
5-Jun-17,144.14,144.34,143.51,143.59,1847635
2-Jun-17,142.12,143.57,141.86,143.48,2885683
1-Jun-17,141.64,142.49,140.93,141.38,2407737
31-May-17,143.04,143.19,141.41,141.86,2944380
30-May-17,141.80,142.56,141.50,142.41,1541204
26-May-17,142.93,143.10,141.67,141.89,1604223
25-May-17,142.16,143.48,141.80,142.85,1731076
24-May-17,140.18,141.25,139.81,141.12,1700445
23-May-17,139.16,139.95,138.70,139.52,2123751
22-May-17,137.38,139.19,136.58,138.86,2515974
19-May-17,135.18,136.61,134.34,136.43,3721729
18-May-17,132.77,134.85,130.82,134.54,4158708
17-May-17,137.20,137.32,134.24,134.33,3558545
16-May-17,138.06,138.39,137.60,138.03,2271821
15-May-17,137.13,137.71,136.83,137.60,3210300
12-May-17,136.45,137.38,135.88,136.84,1626639
11-May-17,135.98,136.31,135.40,136.29,1344005
10-May-17,135.86,136.74,135.51,136.15,1755377
9-May-17,135.33,135.62,134.90,135.60,1692745
8-May-17,135.36,135.38,134.22,135.12,1583085
5-May-17,135.19,135.19,134.19,134.84,1845506
4-May-17,135.13,135.35,134.40,134.61,1810507
3-May-17,134.99,135.21,134.38,134.85,1974174
2-May-17,135.54,135.70,134.75,135.00,2692920
1-May-17,134.30,135.34,133.71,135.11,1811962
28-Apr-17,133.40,133.92,132.67,133.74,1749243
27-Apr-17,133.13,134.25,132.76,133.38,1658147
26-Apr-17,133.50,133.80,132.42,132.79,1635874
25-Apr-17,133.44,133.72,132.88,133.49,2504120
24-Apr-17,132.94,133.18,132.17,132.89,1845569
21-Apr-17,131.84,131.97,131.03,131.52,2137086
20-Apr-17,130.70,131.99,130.28,131.42,2004260
19-Apr-17,129.90,130.98,129.82,130.22,2007572
18-Apr-17,129.74,130.23,129.48,129.81,1499916
17-Apr-17,129.69,130.36,129.11,129.99,1395416
