"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"15-Jan-2016","-","-","-","     2820.34","       11158474","          355.62"
"18-Jan-2016","-","-","-","     2795.56","       12932956","          473.22"
"19-Jan-2016","-","-","-","     2862.47","        9592782","          616.03"
"20-Jan-2016","-","-","-","     2836.10","       14046975","          346.07"
"21-Jan-2016","-","-","-","     2847.76","       11665784","          230.27"
"22-Jan-2016","-","-","-","     2825.96","       24117199","          290.67"
"25-Jan-2016","-","-","-","     2842.77","       10521266","          160.45"
"27-Jan-2016","-","-","-","     2852.84","       15332141","          253.03"
"28-Jan-2016","-","-","-","     2802.39","       23389360","          380.56"
"29-Jan-2016","-","-","-","     2850.07","       15368096","          246.65"
"01-Feb-2016","-","-","-","     2861.30","       11181768","          224.90"
"02-Feb-2016","-","-","-","     2837.58","       13025266","          196.81"
"03-Feb-2016","-","-","-","     2804.93","       11103750","          150.00"
"04-Feb-2016","-","-","-","     2788.60","       25391701","          322.46"
"05-Feb-2016","-","-","-","     2851.16","       34271337","          471.49"
"08-Feb-2016","-","-","-","     2827.39","       14891286","          181.95"
"09-Feb-2016","-","-","-","     2794.75","       24883071","          314.99"
"10-Feb-2016","-","-","-","     2783.96","       22265725","          243.56"
"11-Feb-2016","-","-","-","     2731.32","       15230032","          237.77"
"12-Feb-2016","-","-","-","     2774.70","       21652371","          390.86"
"15-Feb-2016","-","-","-","     2812.73","       26012152","          294.46"
"16-Feb-2016","-","-","-","     2775.82","       14489181","          196.64"
"17-Feb-2016","-","-","-","     2784.17","       16455902","          180.95"
"18-Feb-2016","-","-","-","     2808.03","       20081307","          232.36"
"19-Feb-2016","-","-","-","     2837.66","       11900474","          178.52"
"22-Feb-2016","-","-","-","     2890.53","        7785459","          159.01"
"23-Feb-2016","-","-","-","     2808.37","       13823564","          196.42"
"24-Feb-2016","-","-","-","     2771.67","        9875184","          153.71"
"25-Feb-2016","-","-","-","     2759.82","       15906552","          238.82"
"26-Feb-2016","-","-","-","     2753.07","       14442234","          278.94"
"29-Feb-2016","-","-","-","     2737.04","       21955761","          338.16"
"01-Mar-2016","-","-","-","     2831.54","       14773300","          263.15"
"02-Mar-2016","-","-","-","     2902.92","       25469529","          351.80"
"03-Mar-2016","-","-","-","     2938.34","       27488737","          358.17"
"04-Mar-2016","-","-","-","     2898.16","       20853257","          270.05"
"08-Mar-2016","-","-","-","     2930.59","       28125091","          378.34"
"09-Mar-2016","-","-","-","     2959.82","       15134905","          303.56"
"10-Mar-2016","-","-","-","     2959.94","       23585007","          363.63"
"11-Mar-2016","-","-","-","     2940.57","       14446889","          232.62"
"14-Mar-2016","-","-","-","     2947.92","       10583645","          198.64"
"15-Mar-2016","-","-","-","     2908.15","       16895305","          301.66"
