Date,Open,High,Low,Close,Adj Close,Volume
2017-06-15,69.269997,70.209999,68.800003,69.900002,69.900002,26068700
2017-06-16,69.730003,70.029999,69.220001,70.000000,70.000000,48345100
2017-06-19,70.500000,70.940002,70.349998,70.870003,70.870003,23798300
2017-06-20,70.820000,70.870003,69.870003,69.910004,69.910004,21512200
2017-06-21,70.209999,70.620003,69.940002,70.269997,70.269997,19891100
2017-06-22,70.540001,70.589996,69.709999,70.260002,70.260002,22965700
2017-06-23,70.089996,71.250000,69.919998,71.209999,71.209999,27617300
2017-06-26,71.400002,71.709999,70.440002,70.529999,70.529999,19607000
2017-06-27,70.110001,70.180000,69.180000,69.209999,69.209999,25215100
2017-06-28,69.209999,69.839996,68.790001,69.800003,69.800003,25806200
2017-06-29,69.379997,69.489998,68.089996,68.489998,68.489998,28918700
2017-06-30,68.779999,69.379997,68.739998,68.930000,68.930000,23963300
2017-07-03,69.330002,69.599998,68.019997,68.169998,68.169998,16165500
2017-07-05,68.260002,69.440002,68.220001,69.080002,69.080002,21176300
2017-07-06,68.269997,68.779999,68.120003,68.570000,68.570000,21117600
2017-07-07,68.699997,69.839996,68.699997,69.459999,69.459999,16878300
2017-07-10,69.459999,70.250000,69.199997,69.980003,69.980003,15014500
2017-07-11,70.000000,70.680000,69.750000,69.989998,69.989998,17460000
2017-07-12,70.690002,71.279999,70.550003,71.150002,71.150002,17750900
2017-07-13,71.500000,72.040001,71.309998,71.769997,71.769997,20269800
2017-07-14,72.239998,73.269997,71.959999,72.779999,72.779999,25747900
